"","Term","Ont","N","DE","P.DE","regulation"
"GO:0043312","neutrophil degranulation","BP",485,16,2.4612825078249e-08,"up"
"GO:0002283","neutrophil activation involved in immune response","BP",488,16,2.68139893393472e-08,"up"
"GO:0042119","neutrophil activation","BP",498,16,3.55156587183782e-08,"up"
"GO:0002446","neutrophil mediated immunity","BP",499,16,3.65144338570269e-08,"up"
"GO:0036230","granulocyte activation","BP",504,16,4.1904246975216e-08,"up"
"GO:0043299","leukocyte degranulation","BP",534,16,9.26114510710586e-08,"up"
"GO:0002275","myeloid cell activation involved in immune response","BP",544,16,1.19208899540324e-07,"up"
"GO:0002444","myeloid leukocyte mediated immunity","BP",551,16,1.41779760660485e-07,"up"
"GO:0002274","myeloid leukocyte activation","BP",651,17,2.51972692476741e-07,"up"
"GO:0006887","exocytosis","BP",903,20,2.81128242123197e-07,"up"
"GO:0045055","regulated exocytosis","BP",794,18,8.52267696053932e-07,"up"
"GO:0002366","leukocyte activation involved in immune response","BP",707,16,3.75991254556648e-06,"up"
"GO:0002263","cell activation involved in immune response","BP",711,16,4.03949243593339e-06,"up"
"GO:0016192","vesicle-mediated transport","BP",2107,29,9.14579269025845e-06,"up"
"GO:0002252","immune effector process","BP",1265,21,1.33474756578448e-05,"up"
"GO:0002443","leukocyte mediated immunity","BP",874,17,1.3446772825919e-05,"up"
"GO:0032940","secretion by cell","BP",1524,23,2.25966737296611e-05,"up"
"GO:0001775","cell activation","BP",1440,22,2.91637861925459e-05,"up"
"GO:0019216","regulation of lipid metabolic process","BP",410,11,2.96813142493639e-05,"up"
"GO:0048518","positive regulation of biological process","BP",6254,58,3.13730851358325e-05,"up"
"GO:0031325","positive regulation of cellular metabolic process","BP",3330,23,5.88661951552099e-05,"down"
"GO:0048522","positive regulation of cellular process","BP",5490,31,8.14099244627591e-05,"down"
"GO:0031328","positive regulation of cellular biosynthetic process","BP",1992,16,0.000214384591053015,"down"
"GO:0009893","positive regulation of metabolic process","BP",3642,23,0.000238597520307609,"down"
"GO:0009891","positive regulation of biosynthetic process","BP",2025,16,0.000258895344272222,"down"
"GO:0051173","positive regulation of nitrogen compound metabolic process","BP",3200,21,0.000298230005210501,"down"
"GO:0009062","fatty acid catabolic process","BP",108,4,0.000321969441892089,"down"
"GO:0051235","maintenance of location","BP",330,6,0.000480405149160967,"down"
"GO:0044242","cellular lipid catabolic process","BP",217,5,0.00050430761846995,"down"
"GO:0002024","diet induced thermogenesis","BP",12,2,0.000583186380711403,"down"
"GO:0010889","regulation of sequestering of triglyceride","BP",12,2,0.000583186380711403,"down"
"GO:0010896","regulation of triglyceride catabolic process","BP",12,2,0.000583186380711403,"down"
"GO:0072329","monocarboxylic acid catabolic process","BP",132,4,0.000687718534472783,"down"
"GO:0032270","positive regulation of cellular protein metabolic process","BP",1611,13,0.000909248727041567,"down"
"GO:0030730","sequestering of triglyceride","BP",15,2,0.000922384828913903,"down"
"GO:0080090","regulation of primary metabolic process","BP",6233,31,0.000962147330502251,"down"
"GO:0046503","glycerolipid catabolic process","BP",64,3,0.000964040673355101,"down"
"GO:00485181","positive regulation of biological process","BP",6254,31,0.0010235981993344,"down"
"GO:0031401","positive regulation of protein modification process","BP",1237,11,0.0010982534492707,"down"
"GO:0032970","regulation of actin filament-based process","BP",388,6,0.00111593780801775,"down"
