"","Term","Ont","N","DE","P.DE","regulation"
"GO:0070062","extracellular exosome","CC",2163,43,1.45088394233722e-13,"up"
"GO:1903561","extracellular vesicle","CC",2186,43,2.09085026395939e-13,"up"
"GO:0043230","extracellular organelle","CC",2191,43,2.26221687479781e-13,"up"
"GO:0005576","extracellular region","CC",4586,60,2.8466450534403e-11,"up"
"GO:0005615","extracellular space","CC",3563,51,1.01463534764351e-10,"up"
"GO:0044421","extracellular region part","CC",3763,52,2.20640718907932e-10,"up"
"GO:0031982","vesicle","CC",3884,52,7.16408350254489e-10,"up"
"GO:0012505","endomembrane system","CC",4441,51,2.34747888725231e-07,"up"
"GO:0044444","cytoplasmic part","CC",9735,83,1.2428750663706e-06,"up"
"GO:0030141","secretory granule","CC",833,18,1.6877157871253e-06,"up"
"GO:0045121","membrane raft","CC",315,11,2.49776245848664e-06,"up"
"GO:0098857","membrane microdomain","CC",316,11,2.57519423781203e-06,"up"
"GO:0098589","membrane region","CC",328,11,3.68256702170377e-06,"up"
"GO:0005737","cytoplasm","CC",11625,92,3.9856476953452e-06,"up"
"GO:0062023","collagen-containing extracellular matrix","CC",406,12,4.78734655815833e-06,"up"
"GO:1904813","ficolin-1-rich granule lumen","CC",124,7,8.47389722977271e-06,"up"
"GO:0101002","ficolin-1-rich granule","CC",185,8,1.34848680804471e-05,"up"
"GO:0099503","secretory vesicle","CC",986,18,1.71857909551716e-05,"up"
"GO:0060205","cytoplasmic vesicle lumen","CC",338,10,3.04907932465333e-05,"up"
"GO:0031983","vesicle lumen","CC",339,10,3.12642657148794e-05,"up"
"GO:0005811","lipid droplet","CC",81,4,0.000106234154998152,"down"
"GO:0098590","plasma membrane region","CC",1198,12,0.000214883263557228,"down"
"GO:0016324","apical plasma membrane","CC",318,6,0.000394927802770583,"down"
"GO:0031253","cell projection membrane","CC",345,6,0.000606846980457497,"down"
"GO:0045177","apical part of cell","CC",384,6,0.00105807747662172,"down"
"GO:0005902","microvillus","CC",83,3,0.00204104321687737,"down"
"GO:0031528","microvillus membrane","CC",23,2,0.00218814613230023,"down"
"GO:0044432","endoplasmic reticulum part","CC",1361,11,0.00235431663968697,"down"
"GO:0099189","postsynaptic spectrin-associated cytoskeleton","CC",1,1,0.00302616165560321,"down"
"GO:0005887","integral component of plasma membrane","CC",1634,12,0.00324989298990728,"down"
"GO:0031226","intrinsic component of plasma membrane","CC",1713,12,0.00476216484493338,"down"
"GO:0005886","plasma membrane","CC",5637,27,0.00478659000500635,"down"
"GO:0005789","endoplasmic reticulum membrane","CC",1077,9,0.00488391577017229,"down"
"GO:0098827","endoplasmic reticulum subcompartment","CC",1081,9,0.00500266722333142,"down"
"GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","CC",1099,9,0.00556531488366369,"down"
"GO:0150056","amylin receptor complex 1","CC",2,1,0.0060433129211549,"down"
"GO:1990406","CGRP receptor complex","CC",2,1,0.0060433129211549,"down"
"GO:0034687","integrin alphaL-beta2 complex","CC",2,1,0.0060433129211549,"down"
"GO:0044459","plasma membrane part","CC",2985,17,0.00619483504637849,"down"
"GO:0071944","cell periphery","CC",5756,27,0.00650123303717913,"down"
