"","Term","Ont","N","DE","P.DE","regulation"
"GO:0050786","RAGE receptor binding","MF",11,4,3.57800765824412e-07,"up"
"GO:0005509","calcium ion binding","MF",705,15,1.60694485727394e-05,"up"
"GO:0035662","Toll-like receptor 4 binding","MF",4,2,0.000202563153872374,"up"
"GO:0050544","arachidonic acid binding","MF",5,2,0.000336310000436542,"up"
"GO:0048306","calcium-dependent protein binding","MF",61,4,0.000451392892047998,"up"
"GO:0050542","icosanoid binding","MF",6,2,0.000502530435082303,"up"
"GO:0050543","icosatetraenoic acid binding","MF",6,2,0.000502530435082303,"up"
"GO:0005515","protein binding","MF",11807,86,0.00100988976827412,"up"
"GO:0043177","organic acid binding","MF",205,6,0.00132358706354408,"up"
"GO:0046790","virion binding","MF",10,2,0.00148462381943681,"up"
"GO:0035325","Toll-like receptor binding","MF",12,2,0.00216082077946393,"up"
"GO:1901618","organic hydroxy compound transmembrane transporter activity","MF",44,3,0.00217842256585507,"up"
"GO:0044877","protein-containing complex binding","MF",1134,15,0.0025864596979738,"up"
"GO:0036041","long-chain fatty acid binding","MF",14,2,0.00295658327026424,"up"
"GO:0001846","opsonin binding","MF",15,2,0.00339841261786344,"up"
"GO:0017160","Ral GTPase binding","MF",15,2,0.00339841261786344,"up"
"GO:0044548","S100 protein binding","MF",15,2,0.00339841261786344,"up"
"GO:0043169","cation binding","MF",4279,38,0.00364482662135342,"up"
"GO:0046872","metal ion binding","MF",4189,37,0.00461846400096676,"up"
"GO:0017127","cholesterol transporter activity","MF",18,2,0.00489549967830165,"up"
"GO:0052689","carboxylic ester hydrolase activity","MF",136,4,0.000769044921799266,"down"
"GO:0005543","phospholipid binding","MF",427,6,0.00181645397020391,"down"
"GO:0051219","phosphoprotein binding","MF",83,3,0.00204104321687737,"down"
"GO:0060182","apelin receptor activity","MF",1,1,0.00302616165560321,"down"
"GO:0004941","beta2-adrenergic receptor activity","MF",1,1,0.00302616165560321,"down"
"GO:1990407","calcitonin gene-related peptide binding","MF",1,1,0.00302616165560321,"down"
"GO:0031737","CX3C chemokine receptor binding","MF",1,1,0.00302616165560321,"down"
"GO:0045237","CXCR1 chemokine receptor binding","MF",1,1,0.00302616165560321,"down"
"GO:0047936","glucose 1-dehydrogenase [NAD(P)] activity","MF",1,1,0.00302616165560321,"down"
"GO:0004344","glucose dehydrogenase activity","MF",1,1,0.00302616165560321,"down"
"GO:0003868","4-hydroxyphenylpyruvate dioxygenase activity","MF",2,1,0.0060433129211549,"down"
"GO:0003870","5-aminolevulinate synthase activity","MF",2,1,0.0060433129211549,"down"
"GO:0017057","6-phosphogluconolactonase activity","MF",2,1,0.0060433129211549,"down"
"GO:0004345","glucose-6-phosphate dehydrogenase activity","MF",2,1,0.0060433129211549,"down"
"GO:0016749","N-succinyltransferase activity","MF",2,1,0.0060433129211549,"down"
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF",1600,11,0.00797844790567852,"down"
"GO:0004939","beta-adrenergic receptor activity","MF",3,1,0.00905148018654989,"down"
"GO:0030369","ICAM-3 receptor activity","MF",3,1,0.00905148018654989,"down"
"GO:0005153","interleukin-8 receptor binding","MF",3,1,0.00905148018654989,"down"
"GO:0047374","methylumbelliferyl-acetate deacetylase activity","MF",3,1,0.00905148018654989,"down"
